segment_id,lat,lon,length_m,slope,curvature,density,offtrack_rate
0,-7.2095682,109.92543491,8.131323262521077,0.0,0.1617569853071683,257.0,0.0311284046692607
1,-7.20963978,109.92544999,6.5216656096426515,0.0,5.448443061897855,115.0,0.034782608695652174
2,-7.20969837,109.92545268,5.651978128619076,0.0,1.3911172430508318,65.0,0.03076923076923077
3,-7.20973433,109.92541647,7.517339054140361,0.0,0.9694372944674563,60.0,0.1
4,-7.20969544,109.92536073,17.765036667968793,0.0,0.05426225096912003,122.0,0.04918032786885246
5,-7.20953568,109.92536198,21.486914969786383,0.0,0.12501289339393312,291.0,0.09621993127147767
6,-7.20934281,109.92537397,6.966590682271904,0.0,1.7106263761332712,240.0,0.008333333333333333
7,-7.20928028,109.92537003,5.786895877022186,0.0,0.03181073476215279,120.0,0.10833333333333334
8,-7.20928431,109.92542233,13.5441745028975,0.0,0.046315443716614446,131.0,0.007633587786259542
9,-7.20929763,109.92554437,11.383158694678649,0.0,0.22645095300655105,190.0,0.02631578947368421
10,-7.20931356,109.9256463,4.143162927910422,0.0,0.8936630456782004,92.0,0.021739130434782608
11,-7.20931088,109.92568376,6.288247924232743,0.0,0.08986769325073185,94.0,0.23404255319148937
12,-7.20926427,109.92571604,5.565688114603361,0.0,0.20855046086965356,60.0,0.0
13,-7.20922572,109.92574822,6.420472273296255,0.0,1.2247856973568856,78.0,0.02564102564102564
14,-7.20918984,109.92579382,6.106533904526173,0.0,0.2226014140350454,84.0,0.08333333333333333
15,-7.20921909,109.92584067,12.557723414512736,0.0,0.254895157992606,164.0,0.14634146341463414
16,-7.20929889,109.92592122,13.19820556222726,0.0,0.19254488433922257,189.0,0.1164021164021164
17,-7.20935882,109.92602449,9.871765402055921,0.0,0.2509282102674706,163.0,0.024539877300613498
18,-7.20938807,109.92610898,10.68889911328473,0.0,0.6082460469956359,148.0,0.02027027027027027
19,-7.20939604,109.92620554,9.266077462529694,0.0,0.06463206687818879,131.0,0.030534351145038167
20,-7.20935396,109.92627804,8.024102993751814,0.0,0.06951264998656392,121.0,0.049586776859504134
21,-7.20931356,109.92633831,10.331210607124195,0.0,0.25138900848764667,141.0,0.06382978723404255
22,-7.20925631,109.92641207,8.878217276787806,0.0,0.4750955471275664,127.0,0.047244094488188976
23,-7.20922437,109.92648583,15.453854673207648,0.0,1.3909202160476535,176.0,0.017045454545454544
